Obszar,Czynnik,Przykład,Instytut badawczy,źródło 1,żródło 2
,Perspektywy rozwoju organizacji,Organizacje z silną kulturą uczenia się mają dwukrotnie wyższą retencję (57%) niż firmy o umiarkowanej kulturze rozwoju (27%),,"https://www.deel.com/blog/employee-development-statistics/#:~:text=And%20it%20works%2C%20too.,culture%20observed%20a%2057%25",
,,Organizacje inwestujące w rozwój notują 17% wyższą produktywność i 21% wyższą rentowność,,"https://www.hrcloud.com/blog/20-employee-engagement-statistics-you-need-to-know#:~:text=Reference%20the%20Gallup%20stat%3A,are%20the%20signs%20of",
,Wizerunek pracodawcy na rynku,"11,6% wyższy zwrot dla akcjonariuszy w firmach z silnym employer brandingiem",,"https://dsmn8.com/blog/employer-branding-statistics/#:~:text=%2D%20Companies%20with%20better,increase%20in%20shareholder%20returns.",
,,88% kandydatów bierze pod uwagę wizerunek pracodawcy przy wyborze pracy ,,"https://vouchfor.com/blog/employer-brand-statistics#:~:text=%2D%2088%25%20of%20job,for%20a%20job.Â%20Source%3AÂ",
,,2x więcej aplikacji na jedno ogłoszenie w firmach z silnym employer brandingiem,,"https://www.jobylon.com/blog/employer-branding-statistics-2023#:~:text=%233%3A%20Companies%20with%20positive,companies%20with%20negative%20employer",
,,64% konsumentów wybiera lub unika marek w zależności od traktowania pracowników,,"https://info.recruitics.com/blog/why-employer-branding-is-key-to-long-term-revenue-growth#:~:text=Recent%20statistics%20from%20the,is%20doing%20the%20right",
Obciążenie pracą i stres,Ilość pracy,"52% pracowników często odczuwa wyczerpanie, a 49% stres z powodu ilości pracy",,https://www.deloitte.com/us/en/insights/topics/talent/workplace-well-being-research.html,
,,60% pracowników i 75% menedżerów rozważa zmianę pracy na lepiej wspierającą dobrostan,,https://www.deloitte.com/us/en/insights/topics/talent/workplace-well-being-research.html,
,,Wysoka ilość pracy jest jednym z trzech głównych czynników wypalenia zawodowego,,"https://www.sciencedirect.com/science/article/abs/pii/S107881742400350X#:~:text=Workload%2C%20under%2Dappreciated%20work%2C%20and,numbers%2C%20workload%20and%20poor",
,Złożoność zadań,"38% pracowników deklaruje, że złożone zadania zwiększają ich satysfakcję z pracy",,"https://www.emerald.com/insight/content/doi/10.1108/heswbl-01-2023-0004/full/html#:~:text=The%20path%20coefficient%20value,at%20t%2Dstatistic%204.63%20%3E",
,,"Wśród millenialsów wykazano istotny pozytywny związek między złożonością zadań a satysfakcją zawodową (współczynnik ścieżki 0,38)",,"https://www.emerald.com/insight/content/doi/10.1108/heswbl-01-2023-0004/full/html#:~:text=The%20path%20coefficient%20value,at%20t%2Dstatistic%204.63%20%3E",
,Presja czasu ,"Wysoka presja czasu prowadzi do wzrostu absencji, błędów i spadku produktywności",,"https://www.researchgate.net/publication/351109688_Time_Pressure_and_Health-Related_Loss_of_Productivity_in_University_Students_The_Mediating_Role_of_Exhaustion#:~:text=Results%3A%20In%20line%20with,of%20productivity%20in%20the",
,Wyczerpanie emocjonalne,"W USA 67% pracowników uważa, że wypalenie nasiliło się od 2020 roku, głównie przez zatarcie granic między pracą a życiem prywatnym",,"https://www.canadasafetytraining.com/Safety_Blog/employee-burnout-statistics.aspx#:~:text=A%202023%20Indeed%20survey,between%20work%20and%20personal",
,,"W Wielkiej Brytanii 79% pracowników doświadcza wypalenia, a 35% określa je jako wysokie lub ekstremalne",,"https://www.spill.chat/mental-health-statistics/workplace-burnout-statistics#:~:text=%2D%20At%20least%2079%25,high%20levels%20of%20burnout.",
,,"44% pracowników na świecie deklaruje, że dzień przed badaniem odczuwało silny stres – poziom ten utrzymuje się od kilku lat i jest wyższy niż dekadę temu",,"https://www.runn.io/blog/burnout-statistics#:~:text=of%20respondents%20said%20they,reported%20experiencing%20a%20lot",
,Depersonalizacja,"Depersonalizacja prowadzi do spadku produktywności, absencji, błędów, konfliktów i wzrostu rotacji",,"https://mecp.springeropen.com/articles/10.1186/s43045-025-00519-9#:~:text=This%20study%20aims%20to,during%20the%20war%20that",
,,"Około 2% populacji doświadcza przewlekłej depersonalizacji, ale epizodyczne objawy występują nawet u połowy dorosłych przynajmniej raz w życiu",,"https://www.therecoveryvillage.com/mental-health/depersonalization-derealization-disorder/depersonalization-disorder-statistics/#:~:text=or%20in%20social%20situations.,currently%20not%20well%20understood.",
,Obniżone poczucie dokonań osobistych,Pracownicy z obniżonym poczuciem dokonań są 74% bardziej skłonni do poszukiwania nowej pracy,,"https://www.gallup.com/workplace/313160/preventing-and-dealing-with-employee-burnout.aspx#:~:text=The%20most%20immediate%20way,most%20relevant%20to%20the",
,Zarządzanie stresem w organizacji,"Kobiety doświadczają stresu zawodowego o 25% częściej niż mężczyźni, a matki pracujące są o 40% bardziej zestresowane niż kobiety bez dzieci",,"https://www.spill.chat/mental-health-statistics/workplace-stress-statistics#:~:text=%2D%20Working%20mothers%20are,than%20people%20without%20children.",
,,"17 milionów dni roboczych rocznie jest traconych globalnie z powodu stresu, depresji i lęku – to ponad połowa wszystkich przypadków chorób zawodowych",,"https://www.spill.chat/mental-health-statistics/workplace-stress-statistics#:~:text=%2D%20Around%2017%20million,of%20all%20work%2Drelated%20ill",
,,"Stres zawodowy odpowiada za 120 000 zgonów rocznie w USA i generuje koszty rzędu 300 miliardów dolarów rocznie (absencje, spadek produktywności, rotacja)",,https://www.osha.gov/workplace-stress,
,,6 na 10 pracowników w największych gospodarkach świata doświadcza wzrostu poziomu stresu w pracy,,"https://www.spill.chat/mental-health-statistics/workplace-stress-statistics#:~:text=%2D%206%20in%2010,experiencing%20increased%20workplace%20stress.",
Komunikacja i przepływ informacji,Transparentność procesów, Transparentność procesów przekłada się na 25% wzrost zaangażowania i 30% wzrost produktywności pracowników,,https://blogs.vorecol.com/blog-the-role-of-transparency-in-performance-management-systems-and-its-impact-on-organizational-trust-185515,
,Dostęp do informacji,"52% wzrost produktywności – firmy wdrażające zintegrowane systemy komunikacji notują średnio taki wzrost efektywności pracy, co przekłada się na 25% wyższy zysk operacyjny",,"https://www.formstack.com/blog/workplace-productivity-statistics#:~:text=Businesses%20that%20adopt%20a,operating%20profit%2C%20according%20to",
,,Pracownicy spędzają średnio 5 godzin tygodniowo czekając na kontakt z osobami posiadającymi potrzebną wiedzę – lepszy dostęp do informacji znacząco skraca ten czas,,"https://www.formstack.com/blog/workplace-productivity-statistics#:~:text=Employees%20in%20a%20survey,the%20unique%20knowledge%20they",
,,"67% pracowników uważa, że łatwiejszy dostęp do informacji z różnych aplikacji w jednym miejscu poprawiłby ich koncentrację i efektywność",,"https://www.formstack.com/blog/workplace-productivity-statistics#:~:text=67%25%20of%20survey%20respondents,appeared%20in%20a%20single",
,Kanały komunikacji wewnętrznej,"58% pracowników zdalnych czuje presję bycia „zawsze dostępnym”, a lęk przed pominięciem ważnych informacji (FoMO) dodatkowo zwiększa ryzyko wypalenia",,"https://www.brosix.com/blog/digital-communication-overload/#:~:text=%2D%20Remote%20and%20hybrid,to%20always%20be%20on",https://www.reworked.co/digital-workplace/information-overload-is-bad-for-your-health-heres-what-you-can-do/
,,Pracownicy w firmach z efektywną komunikacją są o 147% bardziej zaangażowani i produktywni niż w organizacjach z niską jakością komunikacji,,"https://blogs.psico-smart.com/blog-measuring-the-impact-of-internal-communication-on-employee-engagement-11384#:~:text=a%20study%20conducted%20by,benefits%20that%20effective%20internal",
,,"Słaba komunikacja prowadzi do spadku produktywności nawet o 40%, wydłużenia realizacji projektów o 37% i wzrostu kosztów o 32%",,"https://cerkl.com/blog/why-internal-communication-is-important/#:~:text=The%20crux%20is%20that,timelines%2C%20and%2032%25%20increased",
,Jasność oczekiwań," Jasność oczekiwań zwiększa satysfakcję z pracy nawet 12-krotnie i przekłada się na 4,5-krotnie wyższą retencję",,"https://www.2tolead.com/insights/modernizing-the-digital-workplace-with-microsoft-365-case-study#:~:text=A%20large%20multinational%20non%2Dprofit,efficiency%20and%20productivity.%20The",
Autonomia i podejmowanie decyzji,Możliwość podejmowania decyzji,"Organizacje z wysokim poziomem autonomii notują 21% wyższy zysk i nawet 40% niższy poziom wypalenia zawodowego 
. Pracownicy z większą autonomią deklarują wyższą satysfakcję i lojalność wobec pracodawcy 
.",,https://blogs.vorecol.com/blog-autonomy-at-work-a-key-factor-in-employee-engagement-and-satisfaction-184832,https://www.linkedin.com/pulse/role-autonomy-employee-satisfaction-vantage-circle-i9qwc/
,Swoboda w wykonywaniu zadań,"woboda w wykonywaniu zadań sprzyja kreatywności i powstawaniu innowacyjnych rozwiązań – przykładem jest polityka „20% czasu” w Google, która zaowocowała powstaniem Gmaila i Google Maps",,"https://www.culturemonkey.io/employee-engagement/employee-autonomy-at-work/#:~:text=%2D%20Boosted%20creativity%3A%20Autonomy,of%20innovation%20within%20the",
,Udział w podejmowaniu decyzji,"Pracownicy uczestniczący w podejmowaniu decyzji są bardziej zaangażowani, lojalni i rzadziej odchodzą z firmy – rotacja w takich organizacjach jest nawet o 87% niższa ",,"https://peoplethriver.com/what-is-the-link-between-employee-engagement-and-business-performance/#:~:text=Because%20engaged%20employees%20are,high%20engagement%20can%20reduce",
,Konsultacje z pracownikami," Organizacje, które regularnie konsultują się z pracownikami, notują wyższy poziom zaangażowania (ponad 70% w najlepszych firmach wg Gallupa) oraz lepsze wyniki operacyjne",,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4627904,
,,"Konsultacje zwiększają satysfakcję z pracy, morale i lojalność wobec firmy, co przekłada się na niższą rotację (nawet o 11% niższa rotacja w firmach oferujących szerokie możliwości konsultacji i wsparcia)",,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4627904,
